task_id,ngo_id,title,ngo_name,about_task,direction_work,region,work_to_do,useful_skills,requirements_raw,skills_raw,skills_clean,directions_raw,directions_clean,format_raw,format_clean,participation_type,city_raw,city_clean,deadline,date_start,date_end,created_at,updated_at,publication_status,task_quality_score,is_duplicate_candidate,capacity,current_applications
task_00000,ngo_0056,Проанализировать эффективность работы горячей линии,Волонтёрский центр «Добровольцы Крыма»,"Мы ищем волонтёр с опытом в визуальных материалах, который поможет команде получить понятный и применимый результат. Работа подойдёт человеку, готовому соблюдать договорённости и передать итог координатору.",Дети и молодёжь,Москва,"- подготовить выводы в понятном формате;
- построить визуализацию или дашборд;
- дать рекомендации команде;
- изучить исходные данные;","Аналитика, коммуникации, IT",АНАЛИТИКА; коммуникации,"Аналитика, коммуникации, IT","Аналитика, коммуникации, IT",молодежь,Дети и молодёжь,Смешанный,Смешанный,Смешанный,Москва,Москва,2026-06-10,31.01.2026,10.06.2026,2026-01-31,2026-02-09,published,0.853,0,1,0
task_00001,ngo_0059,Провести опрос участников программы о качестве услуг,Образовательный центр «Доступная наука»,"Нам нужен волонтёр-аналитик: предстоит включиться в работу команды, аккуратно выполнить свою часть и согласовать результат. Формат участия — смешанный.",Дети и молодёжь,Воронеж,"- провести интервью или опросы;
- подготовить краткий отчёт с выводами;
- разработать анкету или гайд;
- систематизировать результаты;","Исследования, SMM",  интервью  ,"Исследования, SMM","Исследования, SMM",  молодежь / пожилые / люди с инвалидностью  ,Дети и молодёжь|Помощь пожилым|Инклюзия,Смешанный,Смешанный,Смешанный, ВОРОНЕЖ ,Воронеж,2026-06-01,17.04.2026,01.06.2026,2026-04-17,2026-04-24,closed,0.901,0,1,1
task_00002,ngo_0050,Проверить договоры организации на соответствие законодательству,Социальная инициатива «Уличная библиотека»,"Необходимо помочь проекту в направлении «Экология». Важно разобраться в контексте, выполнить работу в срок и подготовить результат, который можно использовать дальше.",Экология,Екатеринбург,"- проверять документы;
- подготавливать шаблоны и памятки;
- объяснять правовые вопросы простым языком;
- проводить консультации по запросу;","Юридические услуги, Фото и видео",правовая помощь,"Юридические услуги, Фото и видео","Юридические услуги, Фото и видео","эко, села, помощь людям, дети и молодёжь",Экология|Сельские территории|Социальная помощь|Дети и молодёжь,Онлайн,Онлайн,Онлайн, Екатеринбург ,Екатеринбург,2026-07-10,10.03.2026,10.07.2026,2026-03-10,2026-03-15,published,0.755,0,1,0
task_00003,ngo_0046,Организовать субботник в парке при поддержке НКО,Просветительская инициатива «Медиаграмотность»,"Команде нужна поддержка волонтёра в регионе Волгоград. Задача рассчитана на ответственное участие, аккуратную коммуникацию и передачу результата координатору.",Помощь пожилым,Волгоград,"- решать оперативные вопросы в день проведения;
- координировать участников;
- подготовить краткий отчёт;
- составить план мероприятия;","Организация мероприятий, PR, Коммуникация","мероприятия, пиар, коммуникации, координатор, чат-боты","Организация мероприятий, PR, Коммуникация, Координация волонтёров, Фото и видео","Организация мероприятий, PR, Коммуникация, Координация волонтёров, Фото и видео",старшее поколение,Помощь пожилым,Онлайн,Онлайн,Онлайн, ВОЛГОГРАД ,Волгоград,2026-05-18,29.03.2026,18.05.2026,2026-03-29,2026-03-29,published,0.779,0,2,2
task_00004,ngo_0003,Вести Телеграм-канал организации в течение месяца,АНО «Социальный ориентир»,Потребуется помощь волонтёр с опытом в визуальных материалах. Работа связана с направлением «Кризисные ситуации» и предполагает практический результат без лишней бюрократии.,Кризисные ситуации,Воронеж,"- готовить контент-план;
- следить за реакциями и отвечать на комментарии;
- анализировать охваты;
- создавать посты и истории;","SMM, Фото и видео",  SMM  ,"SMM, Фото и видео","SMM, Фото и видео",чс,Кризисные ситуации,Оффлайн,Оффлайн,Оффлайн, Воронеж ,Воронеж,2026-06-10,03.05.2026,10.06.2026,2026-05-03,2026-05-10,published,0.606,0,1,1
task_00005,ngo_0011,Провести первичный обзвон новых участников программы,АНО «Добрый знак»,"С 9 мая 2026 года можно подключиться к проекту и помочь команде закрыть важную часть работы. Подойдёт волонтёр, которому комфортен формат «Оффлайн».",Инклюзия,Челябинск,"- обрабатывать входящие обращения;
- фиксировать обращения в базе;
- отвечать на запросы по телефону или в мессенджере;
- вести переписку с участниками;",Коммуникация,поддержка,Коммуникация,Коммуникация,люди с инвалидностью,Инклюзия,Оффлайн,Оффлайн,Оффлайн, Челябинск ,Челябинск,2026-05-14,09.05.2026,14.05.2026,2026-05-09,2026-05-11,published,0.851,0,2,2
task_00006,ngo_0071,Вести Телеграм-канал организации в течение месяца,АНО «Сила участия»,"До 25 мая 2026 года нужно подготовить результат для команды. Будет полезен человек, который умеет работать самостоятельно и вовремя согласовывать промежуточные шаги.",Социальная помощь,Воронеж,"- анализировать охваты;
- готовить контент-план;
- следить за реакциями и отвечать на комментарии;
- создавать посты и истории;","SMM, Педагогика, Работа с документами",соцсети | обучение | документы | reels | редактура,"SMM, Педагогика, Работа с документами, Фото и видео, Копирайтинг, Организация мероприятий","SMM, Педагогика, Работа с документами, Фото и видео, Копирайтинг, Организация мероприятий",соц помощь / дети,Социальная помощь|Дети и молодёжь,Оффлайн,Оффлайн,Оффлайн, ВОРОНЕЖ ,Воронеж,2026-05-25,23.03.2026,25.05.2026,2026-03-23,2026-03-24,published,0.626,0,2,2
task_00007,ngo_0010,Настроить CRM для учёта волонтёров в организации,Образовательный проект «Ресурсный класс»,Нужна волонтёрская помощь в формате «Онлайн». Основной фокус — довести работу до завершения и передать материалы или выводы координатору.,Здравоохранение,Москва,"- написать краткую инструкцию;
- настроить выбранный инструмент;
- обучить 1–2 сотрудников;
- разобраться в текущих процессах;","IT, Аналитика, Коммуникация",техническая помощь; АНАЛИТИКА; переговоры; сбор средств,"IT, Аналитика, Коммуникация, Фандрайзинг, Копирайтинг","IT, Аналитика, Коммуникация, Фандрайзинг, Копирайтинг",здоровье; молодежь; спорт; юридическая помощь,Здравоохранение|Дети и молодёжь|Спорт и ЗОЖ|Правозащита,Онлайн,Онлайн,Онлайн, МОСКВА ,Москва,2026-05-18,22.01.2026,18.05.2026,2026-01-22,2026-01-29,published,0.809,0,5,2
task_00008,ngo_0004,Запустить краудфандинговую кампанию на Планете.ру,Благотворительный фонд «Зелёная планета»,"Команда ищет участника, который сможет быстро погрузиться в задачу и помочь в направлении «Экология». Особенно пригодятся навыки: Фандрайзинг, Психология и Педагогика.",Экология,Омск,"- разработать идею кампании;
- координировать продвижение;
- подготовить тексты и контент;
- отчитываться об итогах сбора;","Фандрайзинг, Психология, Педагогика",фандрайзинг | психология | обучение,"Фандрайзинг, Психология, Педагогика, Дизайн","Фандрайзинг, Психология, Педагогика, Дизайн","экологические проекты, помощь пожилым, здравоохранение",Экология|Помощь пожилым|Здравоохранение,Оффлайн,Оффлайн,Оффлайн, Омск ,Омск,2026-06-01,25.04.2026,01.06.2026,2026-04-25,2026-05-02,published,0.491,0,1,4
task_00009,ngo_0032,Настроить CRM для учёта волонтёров в организации,Волонтёрский центр «Добрые руки Поволжья»,"Это практическая волонтёрская задача с понятным результатом. Нужно внимательно выполнить договорённости, учитывать контекст региона Екатеринбург и передать итог команде.",Кризисные ситуации,Екатеринбург,"- обучить 1–2 сотрудников;
- настроить выбранный инструмент;
- разобраться в текущих процессах;
- написать краткую инструкцию;","IT, Медицина, Переводы","prompt engineering,  первая помощь","IT, Медицина, Переводы","IT, Медицина, Переводы",чс; медицина; эко; культура,Кризисные ситуации|Здравоохранение|Экология|Культура и искусство,Онлайн,Онлайн,Онлайн, ЕКАТЕРИНБУРГ ,Екатеринбург,2026-05-25,03.02.2026,25.05.2026,2026-02-03,2026-02-04,published,0.904,0,1,1
